ID;ProprieteSol.SerieSol;SerieSol;cansis;m.3a;m.3b;m.3c
290;Massueville;Massueville;MSU;0,078319842;0,053518056;0,868162103
291;Saint-Bernard;Saint-Bernard;SBE;0,305067822;0,432609503;0,262322674
292;Saint-Bernard;Saint-Bernard;SBE;0,305067822;0,432609503;0,262322674
293;Richelieu;Richelieu;RHU;0,996196066;0,000665148;0,003138786
294;Richelieu;Richelieu;RHU;0,996196066;0,000665148;0,003138786
295;Joseph;Joseph;JSH;0,089323944;0,023811367;0,886864689
296;Joseph;Joseph;JSH;0,089323944;0,023811367;0,886864689
297;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
298;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
299;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
300;Tilly;Tilly;TLY;0,972442637;0,005900098;0,021657266
301;Sainte Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
302;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
303;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
304;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
305;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
306;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
307;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
308;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
309;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
310;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
311;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
312;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
313;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
314;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
315;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
316;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
317;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
318;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
319;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
320;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
321;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
322;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
323;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
324;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
325;Neubois;Neubois;NUB;0,990400324;0,001569753;0,008029923
326;;;;;;
327;;;;;;
328;;;;;;
329;;;;;;
330;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
331;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
332;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
333;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
334;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
335;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
336;;;;;;
337;;;;;;
338;Fourchette;Fourchette;FUT;0,155178729;0,050993841;0,79382743
339;Fleury;Fleury;FLY;0,677422161;0,023461079;0,299116761
