NoEssai;Annee;LongSC;pcpCum;SDI;AWDR;nbPcp1;nbPcp2;nbPcp5;nbPcp10;IhBR;IhKcBR;etpBRcum;etpKcBRcum;tMean;DJCm;DJCb;nb3po3j;nb4po7j;CHUc;cClim;cClimKc;PcpCum_.30;SDI_.30;AWDR_.30;NbPcp1_.30;NbPcp2_.30;NbPcp5_.30;NbPcp10_.30;IhBR_.30;IhKcBR_.30;EtpBRcum_.30;EtpKcBRcum_.30;Tmean_.30;DJCm_.30;DJCb_.30;Nb3po3j_.30;Nb4po7j_.30;CHUc_.30
1;1994;139;532.99;0.80373719;428.38389;72;56;37;18;10.933846;454.66923;480.45752;96.091503;16.161691;NaN;1552.02;55;42;2575.2286;5;5;138.5;0.68820967;95.317039;16;13;7;5;4.3778299;4.3778299;132.69101;132.69101;15.664667;NaN;319.94;12;8;520.33989
2;1994;162;565.67;0.79868652;451.793;76;61;39;20;11.611608;458.05804;506.82004;101.36401;14.977623;NaN;1623.32;56;50;2704.9451;5;5;130.69;0.6808734;88.983345;16;12;6;4;6.2878086;6.2878086;122.9586;122.9586;13.672333;NaN;260.17;12;10;431.6528
3;1994;138;408.3;0.75652393;308.88872;60;45;30;12;-22.38715;288.06425;526.07268;105.21454;17.202174;NaN;1683.9;43;39;2772.3158;4;4;105.94;0.61583303;65.241351;13;10;6;4;-24.551758;-24.551758;140.41414;140.41414;17.241833;NaN;367.255;8;4;588.36849
4;1995;158;443.37;0.69022848;306.0266;51;39;24;14;-27.870176;260.64912;614.68332;122.93666;17.472089;NaN;1970.59;41;33;3200.2541;4;4;72.75;0.61571252;44.793086;12;7;5;2;-44.314048;-44.314048;130.64336;130.64336;16.055667;NaN;331.67;9;4;556.4381
5;1995;136;364.29;0.71367298;259.98393;48;37;25;12;-35.605925;221.97037;565.71975;113.14395;18.266801;NaN;1804.285;38;31;2910.4907;4;4;57.43;0.60035242;34.478239;10;7;5;3;-63.092974;-63.092974;155.60723;155.60723;19.0055;NaN;420.165;6;2;671.1461
6;1995;174;673.61;0.74388308;501.08708;65;52;38;24;5.3783524;426.89176;639.22996;127.84599;15.470948;NaN;1825.015;53;42;3016.4154;1;1;138.25;0.66260669;91.605375;13;12;6;4;26.582879;26.582879;109.21698;109.21698;12.0505;NaN;214.575;10;8;373.91987
7;1995;133;382.43;0.67373781;257.65755;43;32;20;13;-30.244867;248.77567;548.24639;109.64928;18.386316;NaN;1780.38;34;28;2874.915;4;4;38.83;0.42461703;16.487879;7;4;2;1;-75.144508;-75.144508;156.22302;156.22302;19.638667;NaN;439.16;5;2;700.58958
8;1995;175;502.45;0.73047324;367.02628;64;49;32;16;-24.259561;278.7022;663.38406;132.67681;16.886343;NaN;2080.48;55;45;3372.4805;5;5;95.85;0.68367847;65.530581;15;10;7;4;-15.346831;-15.346831;113.22671;113.22671;13.765167;NaN;263.325;12;8;443.26121
9;1996;153;455.62;0.77235287;351.89941;64;50;36;16;-23.06332;284.6834;592.20128;118.44026;17.320588;NaN;1888.08;45;42;3117.7682;4;4;95.2;0.61111796;58.17843;10;9;7;5;-21.525617;-21.525617;121.31347;121.31347;14.102667;NaN;273.765;6;5;459.23892
10;1996;173;573.38;0.75438938;432.55178;73;57;35;20;-2.0678397;389.6608;585.48693;117.09739;16.470694;NaN;1993.59;55;49;3304.0339;5;5;101.52;0.57286652;58.157409;10;8;6;4;-9.0297337;-9.0297337;111.5969;111.5969;13.186833;NaN;247.03;6;5;414.92902
11;1996;172;638.64;0.77894442;497.46506;83;66;35;20;10.465016;452.32508;578.13779;115.62756;14.844099;NaN;1713.935;62;52;2896.04;5;5;106.61;0.60506953;64.506462;11;9;6;5;-4.9186182;-4.9186182;112.125;112.125;11.312333;NaN;193.55;7;5;348.14239
12;1996;160;601.89;0.7740838;465.9133;77;61;33;19;4.6907976;423.45399;574.92159;114.98432;15.45825;NaN;1687.645;58;48;2853.4331;5;5;100.56;0.573544;57.675585;10;8;5;5;-8.3646198;-8.3646198;109.73927;109.73927;10.9495;NaN;182.665;6;5;327.52107
13;1996;171;535.98;0.76082454;407.78674;73;58;32;19;-13.235541;333.8223;617.74142;123.54828;16.233947;NaN;1931.37;52;44;3220.5236;1;1;136.19;0.63384256;86.323018;11;10;7;7;51.398271;51.398271;89.954792;89.954792;11.232;NaN;190.735;7;4;328.79651
14;1996;159;468.79;0.77249232;362.13668;66;51;37;17;-22.284591;288.57705;603.2137;120.64274;17.024811;NaN;1914.975;47;43;3163.3012;4;4;76.3;0.50718374;38.698119;7;6;5;4;-36.115631;-36.115631;119.43454;119.43454;13.191667;NaN;246.435;5;3;417.42629
15;1994;148;463.3;0.77284952;358.06118;66;55;27;14;-12.311729;338.44135;528.34888;105.66978;16.831689;NaN;1753.375;50;45;2904.6928;4;4;114.94;0.66670368;76.630921;14;12;7;3;-18.071915;-18.071915;140.29377;140.29377;17.434167;NaN;373.025;11;7;597.17194
16;1994;160;440.02;0.75100882;330.4589;67;48;29;14;-18.296449;308.51775;538.55677;107.71135;16.677719;NaN;1869.3;52;44;3096.7938;4;4;103.01;0.6263876;64.524187;14;10;5;3;-18.706001;-18.706001;126.71292;126.71292;15.3245;NaN;309.735;10;6;513.55104
17;1994;169;504.67;0.75765157;382.36402;70;61;26;12;-13.258816;333.70592;581.81129;116.36226;16.215562;NaN;1897.475;53;51;3148.515;1;1;132.95;0.60558682;80.512768;14;11;4;3;13.809913;13.809913;116.81759;116.81759;13.464333;NaN;253.93;9;7;426.01521
18;1990;109;384.6;0.7371467;283.50662;47;38;22;13;-16.668611;316.65695;461.53077;92.306153;17.645596;NaN;1378.37;36;31;2257.1729;5;5;93.26;0.63357341;59.087057;15;8;4;3;-14.055232;-14.055232;108.51155;108.51155;12.565167;NaN;226.955;8;4;371.02611
19;1990;158;478.83;0.75310499;360.60926;65;46;32;18;-13.968375;330.15813;556.5744;111.31488;16.664494;NaN;1842.99;48;39;3034.0841;4;4;75.33;0.60961928;45.922621;11;7;4;4;-21.391246;-21.391246;95.829022;95.829022;11.167167;NaN;185.015;6;5;296.18732
20;1990;142;510.91;0.74177073;378.97809;60;48;30;18;3.5926932;417.96347;493.19115;98.638231;17.357817;NaN;1754.81;48;41;2873.5496;4;4;100.79;0.60225821;60.701605;11;9;5;4;-21.988575;-21.988575;129.19902;129.19902;17.7205;NaN;381.615;10;6;633.61116
21;1990;112;408.01;0.72507921;295.83957;45;34;22;16;-13.5856;332.072;472.1551;94.431021;17.103259;NaN;1355.565;36;30;2227.1583;4;4;62.68;0.57364218;35.955892;9;5;3;2;-42.164809;-42.164809;108.37692;108.37692;11.424333;NaN;192.73;6;4;321.84754
22;1991;139;328.68;0.7535778;247.68595;53;43;23;11;-43.251993;183.74003;579.19215;115.83843;18.442194;NaN;1868.825;41;35;3017.8297;4;4;61.27;0.51677626;31.662882;8;8;3;2;-57.043792;-57.043792;142.63363;142.63363;18.494333;NaN;404.83;8;4;666.94036
